FID,Shape ,AREA,lake_id,Jurisdicti,PERIM,X_CENTER,Y_CENTER,HA,Shape_Leng,Shape_Area,Lat,Lon
132,Polygon,486.3047,73061,YOSE,85.984433,267610.3448,4221763.687,0.048631,85.984433,486.308866,38.11382577,-119.650763
133,Polygon,218.125,71084,YOSE,55.867309,282443.1797,4221765.502,0.021813,55.867309,218.133025,38.11753676,-119.4817235
134,Polygon,861.875,73062,YOSE,110.483131,267570.3851,4221755.438,0.086189,110.483131,861.886233,38.11374123,-119.6512156
135,Polygon,21592.1,70403,YOSE,653.511555,277141.4247,4221639.273,2.15925,653.511555,21592.45342,38.11510752,-119.5421082
136,Polygon,103755.4,70629,YOSE,1481.436922,276861.8964,4221514.429,10.3757,1481.436922,103757.1352,38.11391443,-119.5452548
137,Polygon,4839.156,73047,YOSE,296.566979,262266.7904,4221639.111,0.483921,296.566979,4839.208898,38.11131376,-119.7116107
138,Polygon,331.3203,71304,YOSE,73.039282,282506.2577,4221670.194,0.033133,73.039282,331.329578,38.11669377,-119.4809755
139,Polygon,22393.71,70412,YOSE,818.602546,270840.3883,4221524.471,2.25018,818.602546,22501.76821,38.11249728,-119.6138781
140,Polygon,415.25,71470,YOSE,78.17716,271021.2421,4221620.331,0.041526,78.17716,415.256308,38.1134062,-119.611848
141,Polygon,611.8594,71794,YOSE,92.163561,268198.2105,4221605.678,0.061187,92.163561,611.866922,38.11255425,-119.6440127
142,Polygon,508.2969,73068,YOSE,85.960976,270882.0135,4221598.088,0.05083,85.960976,508.302741,38.11317064,-119.6134274
143,Polygon,1373.148,72396,YOSE,162.486082,279456.9923,4221552.829,0.137317,162.486082,1373.173706,38.11489756,-119.5156918
144,Polygon,220.7344,71087,YOSE,56.442783,279348.88,4221554.908,0.022074,56.442783,220.736173,38.11488988,-119.5169246
145,Polygon,1946.359,72608,YOSE,183.426079,268167.3894,4221499.787,0.194639,183.426079,1946.388202,38.111593,-119.6443295
146,Polygon,2581.813,72752,YOSE,190.588747,270691.723,4221481.972,0.258185,190.588747,2581.845858,38.11207692,-119.6155586
147,Polygon,706.7422,71911,YOSE,101.972105,287117.0984,4221437.026,0.070676,101.972105,706.761336,38.11569283,-119.4283536
148,Polygon,281.875,71190,YOSE,68.944781,279290.3428,4221433.641,0.028188,68.944781,281.880448,38.11378368,-119.5175542
149,Polygon,3608.664,72923,YOSE,229.338739,270792.4571,4221400.718,0.360872,229.338739,3608.71663,38.11137093,-119.6143846
150,Polygon,4702.859,73032,YOSE,274.545779,283314.8244,4221383.497,0.4703,274.545779,4703.000235,38.11430662,-119.471673
151,Polygon,1530.289,72457,YOSE,151.661812,267089.7347,4221397.324,0.153031,151.661812,1530.311008,38.11039331,-119.6565759
152,Polygon,501.7109,71612,YOSE,84.986501,270956.6411,4221386.702,0.050172,84.986501,501.719297,38.11128638,-119.6125092
153,Polygon,273.6875,71173,YOSE,67.564963,279377.5452,4221346.804,0.027369,67.564963,273.693403,38.11302311,-119.5165336
154,Polygon,303.7891,71245,YOSE,64.944489,279323.452,4221347.151,0.030379,64.944489,303.791627,38.11301302,-119.5171502
155,Polygon,189.4844,71052,YOSE,51.253196,279263.2734,4221327.608,0.018949,51.253196,189.487655,38.11282235,-119.5178299
156,Polygon,2492.328,72731,YOSE,234.980798,267643.1134,4221303.887,0.249236,234.980798,2492.361905,38.1096946,-119.6502399
157,Polygon,198.625,71062,YOSE,55.005449,279363.9689,4221310.626,0.019863,55.005449,198.627911,38.11269404,-119.5166771
158,Polygon,174.1328,71034,YOSE,51.428377,279202.8398,4221279.162,0.017414,51.428377,174.136022,38.11237137,-119.5185037
159,Polygon,513.9375,71636,YOSE,86.530752,282647.3752,4221252.332,0.051395,86.530752,513.954678,38.11296521,-119.4792399
160,Polygon,153.0703,71019,YOSE,50.407135,279220.4059,4221249.832,0.015307,50.407135,153.072786,38.11211158,-119.5182944
161,Polygon,404.0938,71447,YOSE,77.567115,270575.101,4221236.727,0.04041,77.567115,404.100008,38.10983929,-119.6168087
162,Polygon,258.6875,71142,YOSE,61.084734,279195.5103,4221234.481,0.025869,61.084734,258.692191,38.11196727,-119.5185734
163,Polygon,298.8125,71237,YOSE,67.853097,279311.0139,4221206.515,0.029882,67.853097,298.818655,38.11174369,-119.5172484
164,Polygon,104.8672,71004,YOSE,41.846168,279253.2874,4221183.127,0.010487,41.846168,104.868595,38.111519,-119.517899
165,Polygon,210.3203,71076,YOSE,55.294932,275692.0418,4221161.592,0.021032,55.294932,210.322805,38.11044783,-119.5584758
166,Polygon,385.0469,71404,YOSE,75.967449,270678.4528,4221157.449,0.038505,75.967449,385.052431,38.10915177,-119.6156055
167,Polygon,107.5703,71005,YOSE,40.926665,279056.6479,4221137.279,0.010757,40.926665,107.57108,38.11105811,-119.5201258
168,Polygon,282.4297,71192,YOSE,65.558011,275595.4815,4221101.526,0.028244,65.558011,282.435525,38.10988303,-119.5595573
169,Polygon,734.8516,71946,YOSE,111.116257,276677.8574,4221062.556,0.073486,111.116257,734.864242,38.10980038,-119.5472108
170,Polygon,238.4219,71106,YOSE,65.398634,279158.6106,4221057.754,0.023842,65.398634,238.425152,38.110367,-119.5189392
171,Polygon,589.4844,71767,YOSE,95.084832,270947.9512,4221050.173,0.058949,95.084832,589.492275,38.10825429,-119.6125002
172,Polygon,920.5547,72125,YOSE,114.00464,279045.4819,4220940.177,0.092057,114.00464,920.570642,38.10928067,-119.520192
173,Polygon,285.6406,71201,YOSE,64.387382,276337.4658,4220939.518,0.028565,64.387382,285.647633,38.10860836,-119.5510512
174,Polygon,454.8125,71538,YOSE,83.923917,272162.8459,4220932.288,0.045482,83.923917,454.818103,38.10750012,-119.598619
175,Polygon,1123.434,72263,YOSE,124.609941,261731.8629,4220902.537,0.112344,124.609941,1123.444659,38.10454177,-119.71746
176,Polygon,180592.7,70649,YOSE,5839.588051,264135.6322,4220316.44,18.0694,5839.588051,180694.2954,38.09989592,-119.6898793
177,Polygon,921.4141,72126,YOSE,113.521781,278959.5054,4220857.326,0.092143,113.521781,921.43047,38.10851365,-119.5211461
